session_id,participant_id,condition,plan_id,event_name,event_position,emit_trial_number,cue_onset_ms,next_cue_onset_ms,response_source,analysis_axis,expected_excursion_direction,baseline_center,baseline_mad,excursion_threshold,pre_cue_value,value_at_onset,first_excursion_direction,first_excursion_onset_ms,first_excursion_rt_ms,first_excursion_peak_value,first_excursion_peak_delta,first_excursion_peak_ms,first_excursion_duration_ms,expected_excursion_detected,expected_excursion_onset_ms,expected_excursion_rt_ms,reversal_detected,reversal_direction,reversal_onset_ms,reversal_rt_ms,overshoot_peak_value,overshoot_peak_delta,overshoot_peak_ms,first_stable_direction,first_stable_rt_ms,stable_matches_first_excursion,response_quality,cycle_quality,quality_reason,detector_version
pinch_haptic_1back_20260814_111545,,matrix-only,only-matrix-1,left,5,31,47549625.0,47565015.0,wrist,lr,left,-0.19653894588879084,0.0004995197275281527,0.03980691975944217,-0.1959396300992046,-0.19635063135296382,left,47550609.0,984.0,0.16383253152961996,0.3603714774184108,47551093.0,1437.0,True,47550609.0,984.0,True,right,47552046.0,2421.0,-0.3057992228034203,0.10926027691462947,47552390.0,left,1312.0,True,clean,incomplete_return,,pilot_v0.2
pinch_haptic_1back_20260814_111545,,matrix-only,only-matrix-1,left,6,38,47565015.0,47581546.0,wrist,lr,left,-0.2637899184801067,0.00019057216972978575,0.03,-0.26330326872213483,-0.26294068080506283,left,47566218.0,1203.0,0.17509317083586484,0.43888308931597153,47566812.0,,True,47566218.0,1203.0,False,,,,,,,right,,False,recoverable,incomplete_return,cue_onset_not_neutral_by_offline_classifier,pilot_v0.2
pinch_haptic_1back_20260814_113122,,matrix-only,only-matrix-2,down,2,8,570187.0,584546.0,wrist,ud,down,-0.03764946039138496,0.00016266527020981913,0.05154074989800094,-0.036903978876237274,-0.03710072559130386,down,571343.0,1156.0,-0.43099826348267145,0.3933488030912865,571828.0,1032.0,True,571343.0,1156.0,True,up,572375.0,2188.0,0.03938627081768032,0.07703573120906529,572468.0,down,1344.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113122,,matrix-only,only-matrix-2,right,3,15,584546.0,594640.0,wrist,lr,right,0.023883333674123,0.00010972711586472797,0.0852327171963508,0.02302229482992884,0.02339643887767185,right,585484.0,938.0,-0.661266594561494,0.6851499282356169,586000.0,,True,585484.0,938.0,False,,,,,,,right,1141.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113122,,matrix-only,only-matrix-2,left,4,20,594640.0,610859.0,wrist,lr,left,0.005728450775925658,0.0014167090813231743,0.08886369377599027,0.008992849828873111,0.008992849828873111,left,595593.0,953.0,0.3619790130712765,0.35625056229535085,595937.0,1500.0,True,595593.0,953.0,True,right,597093.0,2453.0,-0.10331085314211255,0.1090393039180382,597125.0,left,1047.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113122,,matrix-only,only-matrix-2,up,5,27,610859.0,626921.0,wrist,ud,up,-0.0505876837109924,0.00011850481688226167,0.05412839456192242,-0.05109487068196475,-0.051105160825541125,down,611843.0,984.0,-0.11385273117979858,0.06326504746880618,611921.0,250.0,True,612093.0,1234.0,True,up,612093.0,1234.0,0.18179617855139452,0.23238386226238691,612781.0,up,1922.0,False,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113122,,matrix-only,only-matrix-2,down,6,34,626921.0,643531.0,wrist,ud,down,-0.15766441173870896,0.00040066536499104577,0.07453957166246582,-0.15839549759815943,-0.15839773059743412,down,628453.0,1532.0,-0.5790916033066034,0.42142719156789443,628812.0,1062.0,True,628453.0,1532.0,True,up,629515.0,2594.0,0.010542690207051154,0.1682071019457601,630218.0,down,1563.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113447,,matrix-only,only-matrix-3,up,2,7,777078.0,788953.0,wrist,ud,up,-0.010065678129255868,0.00044305148900398994,0.03785577505043327,-0.009310192568976559,-0.009311681936374811,up,778406.0,1328.0,0.17591467571426167,0.18598035384351755,778750.0,1281.0,True,778406.0,1328.0,True,down,779687.0,2609.0,-0.17004439730101006,0.15997871917175419,780171.0,up,1422.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113447,,matrix-only,only-matrix-3,down,3,13,788953.0,804609.0,wrist,ud,down,-0.14188622459646114,0.000235273469112951,0.05534466888799064,-0.14221184833264996,-0.14217160779412868,down,790718.0,1765.0,-0.5071299741500781,0.36524374955361694,791062.0,1110.0,True,790718.0,1765.0,True,up,791828.0,2875.0,0.0055037610800263825,0.1473899856764875,792390.0,down,1781.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113447,,matrix-only,only-matrix-3,slip,4,20,804609.0,820875.0,pinch,pinch_closure,pinch,0.5722504191947495,0.0005442876602844149,0.08554991616105011,0.5713248522633635,0.5712880000248455,pinch,805875.0,1266.0,0.9449083009342321,0.37265788173948255,806140.0,,True,805875.0,1266.0,False,,,,,,,pinch,1234.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113447,,matrix-only,only-matrix-3,right,5,27,820875.0,835984.0,wrist,lr,right,-0.04201495462782737,0.00017739495392905466,0.09148502467982444,-0.042182276563587404,-0.04218931037373995,right,822015.0,1140.0,-0.6777092232721247,0.6356942686442973,822546.0,,True,822015.0,1140.0,False,,,,,,,right,1343.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113447,,matrix-only,only-matrix-3,up,6,34,835984.0,849500.0,wrist,ud,up,-0.04284694420029965,0.0004754848458388,0.04441202826464202,-0.041997986747743576,-0.04190525242796038,up,837328.0,1344.0,0.16863223336249725,0.21147917756279688,837578.0,1125.0,True,837328.0,1344.0,True,down,838453.0,2469.0,-0.17804340464979815,0.1351964604494985,839062.0,up,1422.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113756,,matrix-only,only-matrix-4,right,2,7,966890.0,980234.0,wrist,lr,right,0.010846128131537406,0.00018896574066885538,0.08234363278923947,0.010218625179529971,0.009959454458430023,right,967828.0,938.0,-0.6061288294979056,0.616974957629443,968281.0,,True,967828.0,938.0,False,,,,,,,right,1047.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113756,,matrix-only,only-matrix-4,slip,3,13,980234.0,995906.0,pinch,pinch_closure,pinch,0.4922245684318246,8.80401031514988e-05,0.09844491368636493,0.4920409817331416,0.49214092761866746,pinch,981531.0,1297.0,0.9541663978627479,0.4619418294309233,981687.0,,True,981531.0,1297.0,False,,,,,,,pinch,1266.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113756,,matrix-only,only-matrix-4,down,4,20,995906.0,1011359.0,wrist,ud,down,-0.018184115825229316,0.00017357940923429932,0.048623021697362406,-0.018673988206313986,-0.018673988206313986,down,997187.0,1281.0,-0.4487696893357701,0.4305855735105408,997687.0,1406.0,True,997187.0,1281.0,True,up,998593.0,2687.0,0.032884272786777524,0.05106838861200684,998875.0,down,1437.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_113756,,matrix-only,only-matrix-4,slip,5,27,1011359.0,1027031.0,pinch,pinch_closure,pinch,0.5233556976733797,0.00017962616778666174,0.09532886046532406,0.5228754310558257,0.5227804698462591,release,1014125.0,2766.0,0.421852091812245,0.10150360586113477,1014187.0,,False,,,False,,,,,,,,,,no_pinch_increase,not_applicable,no_stable_closure_increase_before_next_cue,pilot_v0.2
